Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C19, C2, C25, C26, C31, C35, C4, C6",0603,11,100nF,
"C10, C3, C7, C9",0603,4,47pF,
"C11, C12, C5, C8",0603,4,330pF,
"C13, C32",0603,2,10nF,
"C14, C15",0603,2,1uF,
"C16, C20",0805,2,10uF,
"C21, C22, C23, C24",0805,4,2.2uF,
"C27, C33",0603,2,1nF,
"C28, C34",0603,2,100pF,
"C29, C30",1206,2,10uF,
"FB1, FB2, FB3, FB4, FB5",0805,5,FerriteBead,
"H1, H2",MountingHole_2.7mm_M2.5,2,MountingHole,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
"R1, R2, R4, R8, R9",0603,5,100Ω,
"R10, R11",0603,2,0Ω,
R12,0603,1,33Ω,
"R3, R5",0603,2,4K7Ω,
TP1,TestPoint_Plated_Hole_D2.0mm,1,PDMCLK,
TP10,TestPoint_Plated_Hole_D2.0mm,1,FSYNC,
TP11,TestPoint_Plated_Hole_D2.0mm,1,FBCLK,
TP12,TestPoint_Plated_Hole_D2.0mm,1,SDOUT,
TP13,TestPoint_Plated_Hole_D2.0mm,1,SDA,
TP14,TestPoint_Plated_Hole_D2.0mm,1,SCL,
TP15,TestPoint_Plated_Hole_D2.0mm,1,5V,
TP16,TestPoint_Plated_Hole_D2.0mm,1,3V3,
TP17,TestPoint_Plated_Hole_D2.0mm,1,1V8,
TP18,TestPoint_Plated_Hole_D2.0mm,1,GND,
TP19,TestPoint_Plated_Hole_D2.0mm,1,PDMVDD3,
TP2,TestPoint_Plated_Hole_D2.0mm,1,PDMIN1,
TP20,TestPoint_Plated_Hole_D2.0mm,1,PDMVDD4,
TP3,TestPoint_Plated_Hole_D2.0mm,1,PDMIN2,
"TP4, TP5",TestPoint_Plated_Hole_D2.0mm,2,PDMVDD2,
TP6,TestPoint_Plated_Hole_D2.0mm,1,PCM_IO1,
TP8,TestPoint_Plated_Hole_D2.0mm,1,VREF,
TP9,TestPoint_Plated_Hole_D2.0mm,1,AREG,
U1,RTE0020A-MFG,1,PCMD3140IRTER,
"U2, U3, U4, U5",SPH0690LM4H-1_KNO,4,SPH0690LM4H-1,
U6,DSE6_TEX,1,TLV7103318QDSERQ1,
