Designator,Mid X,Mid Y,Rotation,Layer
C1,10.2928,34.2918,270.0,top
C10,8.3814,4.2,270.0,top
C11,6.7088,34.2918,270.0,top
C12,6.5106,4.2,270.0,top
C13,24.4126,7.5568,270.0,top
C14,32.2612,7.5568,270.0,top
C15,32.19952,18.3642,270.0,top
C16,38.07,47.65,0.0,top
C17,37.88,45.11,0.0,top
C18,33.008,41.2722,0.0,top
C19,37.92,50.24,180.0,top
C2,10.2792,64.2788,270.0,top
C20,33.2112,43.9138,0.0,top
C21,12.373,3.98,270.0,top
C22,12.4746,34.0868,270.0,top
C23,12.373,64.0588,270.0,top
C24,12.4238,94.0816,270.0,top
C25,33.836,47.3456,0.0,top
C26,30.3054,7.5568,270.0,top
C27,28.3496,7.5568,270.0,top
C28,26.3938,7.5568,270.0,top
C29,34.598,6.858,270.0,top
C3,8.5122,64.2788,270.0,top
C30,34.5726,17.653,270.0,top
C31,30.24644,18.3642,270.0,top
C32,28.29336,18.3642,270.0,top
C33,26.34028,18.3642,270.0,top
C34,24.3872,18.3642,270.0,top
C35,20.1454,46.482,180.0,top
C4,10.2522,4.2,270.0,top
C5,6.7122,64.2788,270.0,top
C6,10.2358,94.3016,270.0,top
C7,8.3852,94.3016,270.0,top
C8,6.5852,94.3016,270.0,top
C9,8.5088,34.2918,270.0,top
FB1,37.4936,18.0594,90.0,top
FB2,15.5226,95.0468,0.0,top
FB3,15.4972,64.9986,0.0,top
FB4,15.5226,35.0774,0.0,top
FB5,15.57,5.0038,0.0,top
J1,52.3,32.5,180.0,top
R1,7.42,97.155,180.0,top
R10,20.16,48.48,0.0,top
R11,20.16,50.27,0.0,top
R12,20.17,52.0,0.0,top
R2,8.6646,72.136,180.0,top
R3,25.2508,35.4076,180.0,top
R4,24.1586,60.3758,0.0,top
R5,30.28,35.4076,0.0,top
R8,3.6608,40.9956,0.0,top
R9,3.6608,11.049,0.0,top
U1,27.8,50.0,270.0,top
U2,3.2284,96.1229,0.0,top
U3,3.1908,66.1423,0.0,top
U4,3.1698,36.1205,0.0,top
U5,3.1463,6.0513,0.0,top
U6,42.378838,8.373999,180.0,top
